img_width,img_height,msg_length,payload_bytes,psnr,mse,t_encrypt,t_embed,t_extract,t_decrypt,t_total
200,200,50,132,71.64720349886979,0.00445,0.0016969999996945262,0.0026648999919416383,0.008121600010781549,0.00014699999883305281,0.012630500001250766
200,200,200,276,68.46156819669497,0.009266666666666666,0.0002052000054391101,0.003507100002025254,0.009412200000951998,0.00012789999891538173,0.013252400007331744
200,200,500,580,65.37385184399301,0.018866666666666667,0.00023629999486729503,0.005388600009609945,0.011650999993435107,0.00012840000272262841,0.017404300000634976
200,200,1000,1076,62.60716379081225,0.035675,0.0003397999971639365,0.007005299994489178,0.01330930000403896,0.0001598999951966107,0.020814299990888685
400,400,50,132,77.78318254608698,0.0010833333333333333,0.00015950000670272857,0.0052029999933438376,0.01438639999832958,0.0001244000013684854,0.01987329999974463
400,400,200,276,74.50566471274817,0.0023041666666666666,0.00014180000289343297,0.00763619999634102,0.01050980000582058,0.00012660000356845558,0.018414400008623488
400,400,500,580,71.40213159096096,0.0047083333333333335,0.00015419999544974416,0.006576600004336797,0.012490000008256175,0.00013199998647905886,0.019352799994521774
400,400,1000,1076,68.54536385256678,0.009089583333333333,0.0001689000055193901,0.008679699996719137,0.018442500004312024,0.00019079999765381217,0.027481900004204363
800,800,50,132,83.76222286165502,0.0002734375,0.00014800000644754618,0.021370399990701117,0.014887000012095086,0.00012119999155402184,0.03652660000079777
800,800,200,276,80.65781867605509,0.0005588541666666667,0.00016539999342057854,0.02083680000214372,0.01569770000060089,0.00012040000001434237,0.03682029999617953
800,800,500,580,77.23101696293963,0.0012302083333333334,0.00019779999274760485,0.022881600001710467,0.017756900007952936,0.00012499999138526618,0.040961299993796274
800,800,1000,1076,74.54213955166514,0.0022848958333333332,0.00020429999858606607,0.03173849999438971,0.017563700006576255,0.00013359999866224825,0.04964009999821428
